電影,#genre#
ASTRO Citra,mitv://64.32.9.99:7999/423bb6e68537469bf60823f5cc79f8f8.ts
ASTRO AOD 311,mitv://64.32.9.99:7999/4b68051d6f6f9b8e734e20b1c13832f8.ts
Astro 歡喜臺,mitv://64.32.9.99:7999/ac9619b0b11ab648a1b1aebfd789c7ca.ts
Astro STAR VIJAY,mitv://64.32.9.99:7999/861f651348c4a0960663c032cb58d249.ts
Astro One,mitv://64.32.9.99:7999/af8e118cad1cbb55d198912de6621acd.ts
Astro RIA(B),mitv://64.32.9.99:7999/2d6be6ab303c226fbf6096de3568498c.ts
HBO(TW),mitv://64.32.9.99:7999/b3195b4a5321641710713b534d83c607.ts
HBO Xtreme,mitv://64.32.9.99:7999/7039264aeabcb0cd5e28a931fbb3b4c7.ts
HBO 2,mitv://64.32.9.99:7999/3c239d85e4761d2c5fd25a9b266bdaae.ts
HBO Family(TW),mitv://64.32.9.99:7999/c34331f1b9dae023e1d9db154777e28e.ts
HBO Comedy,mitv://64.32.9.99:7999/867e84c288df427127dc5fa697e6668b.ts
HBO HITS,mitv://64.32.9.99:7999/9bc10667db37275df00922c41608e458.ts
HBO Family(USA),mitv://64.32.9.99:7999/e07ead6291fae3c56242091df05a06b8.ts
HBO HITS(TW),mitv://64.32.9.99:7999/ea7602aa0f765664c431bd19a43a118e.ts
HBO Signature(TW),mitv://64.32.9.99:7999/27cdd27e5d2dba7c05e700fc780c1b3f.ts
HBO(EN),mitv://64.32.9.99:7999/2215c0b7f13fb42bad1604026052a784.ts
HBO WEST,mitv://64.32.9.99:7999/5a5e40acd03f5443c3c81b543abafabd.ts
HBO Signature(USA),mitv://64.32.9.99:7999/51afb9ad4c25ed68fefb0b769092dd59.ts
HBO(SG),mitv://64.32.9.99:7999/f406ea8d081e28a24ea2e19cb62b58d9.ts
HBO Zone,mitv://64.32.9.99:7999/7f7ccf3b8021dec89760ea3b7ff4697b.ts
NOW爆谷台,mitv://64.32.9.99:7999/8a11f82cf1c657e2db6ed1fdc2dcb3ed.ts
NOW 星影臺,mitv://64.32.9.99:7999/1f691c3ee01670c0d762207f623e2c57.ts
CCTV6,mitv://64.32.9.99:7999/281b49c63d4428d84f95326a09804f0c.ts
CCTV8,mitv://64.32.9.99:7999/390103b06b11db6b6e2a9c6f32932020.ts
CCTV11,mitv://64.32.9.99:7999/41c338ef3182c7d0bb45d1defaef31e7.ts
Fox Movies,mitv://64.32.9.99:7999/b63558d55cf0e9bdef12e1192da3f0dc.ts
FX,mitv://64.32.9.99:7999/fdf1d884c60a52b96e270ab3434e9935.ts
Starz Encore,mitv://64.32.9.99:7999/9c390481582a507b617bc44d907c0ec5.ts
Starz,mitv://64.32.9.99:7999/103a8aa0a0eabd1a023d1cc4596a1cc9.ts
BOO[維護],mitv://64.32.9.99:7999/becccfb519d2cc7a2a0a378c0a2b017b.ts
FXX,mitv://64.32.9.99:7999/6e1a5155fd783201123cc6bf95051bfd.ts
AXN,mitv://64.32.9.99:7999/d62c7825bba1f82b870710f8ed1e471f.ts
SKY Crime,mitv://64.32.9.99:7999/14e5027bce11e9aa9e6e22d0d7fcd87b.ts
Channel 8,mitv://64.32.9.99:7999/7b845d5a098ab1b62a114b51ef6187d5.ts
Cinemax Action,mitv://64.32.9.99:7999/61891e2a3cfa514e85df28e17d8cc1f0.ts
Star Movies,mitv://64.32.9.99:7999/a750f670c08fc80f09e23b652052fd90.ts
